year,avg_temp
1820,18.83
1821,20.75
1822,25.48
1823,19.34
1824,19.90
1825,20.15
1826,19.87
1827,20.52
1828,20.02
1829,19.71
1830,20.39
1831,18.96
1832,19.55
1833,20.03
1834,20.22
1835,18.35
1836,18.75
1837,19.34
1838,18.52
1839,19.38
1840,19.50
1841,19.54
1842,19.81
1843,19.56
1844,19.69
1845,19.43
1846,20.00
1847,19.15
1848,19.38
1849,19.96
1850,19.77
1851,19.86
1852,19.60
1853,18.96
1854,19.53
1855,19.23
1856,19.03
1857,19.47
1858,19.68
1859,20.01
1860,19.99
1861,20.30
1862,20.26
1863,19.83
1864,19.40
1865,19.87
1866,19.82
1867,20.62
1868,19.67
1869,19.24
1870,19.91
1871,20.24
1872,19.52
1873,19.44
1874,20.15
1875,19.59
1876,19.63
1877,19.38
1878,19.72
1879,20.35
1880,19.41
1881,19.81
1882,19.90
1883,19.85
1884,19.64
1885,19.26
1886,19.25
1887,19.74
1888,19.14
1889,19.29
1890,20.17
1891,19.36
1892,19.65
1893,19.94
1894,20.02
1895,19.02
1896,20.23
1897,20.02
1898,19.51
1899,19.50
1900,19.64
1901,19.73
1902,20.38
1903,18.58
1904,19.85
1905,19.28
1906,19.60
1907,20.63
1908,20.33
1909,20.54
1910,20.23
1911,20.57
1912,19.20
1913,19.12
1914,19.19
1915,19.85
1916,20.50
1917,19.88
1918,19.92
1919,19.08
1920,19.56
1921,20.91
1922,20.37
1923,20.10
1924,19.37
1925,20.51
1926,19.65
1927,21.23
1928,19.98
1929,19.69
1930,19.53
1931,20.17
1932,19.78
1933,21.39
1934,20.91
1935,20.35
1936,19.35
1937,19.96
1938,20.65
1939,20.67
1940,19.31
1941,19.94
1942,19.81
1943,20.03
1944,19.86
1945,20.47
1946,20.37
1947,19.82
1948,20.32
1949,20.23
1950,20.74
1951,20.76
1952,20.06
1953,20.61
1954,21.37
1955,20.72
1956,20.93
1957,20.18
1958,19.39
1959,19.52
1960,19.47
1961,19.66
1962,20.55
1963,20.47
1964,20.20
1965,20.23
1966,19.58
1967,20.34
1968,19.15
1969,19.95
1970,19.55
1971,20.82
1972,20.10
1973,19.66
1974,19.93
1975,19.93
1976,19.04
1977,20.30
1978,19.55
1979,19.14
1980,20.30
1981,20.32
1982,20.39
1983,19.20
1984,20.62
1985,20.07
1986,20.56
1987,19.73
1988,20.28
1989,19.99
1990,20.93
1991,20.22
1992,20.07
1993,19.72
1994,20.50
1995,20.35
1996,20.78
1997,19.73
1998,21.35
1999,21.35
2000,21.12
2001,20.35
2002,20.30
2003,20.37
2004,20.45
2005,20.90
2006,21.56
2007,19.98
2008,20.91
2009,21.06
2010,20.10
2011,21.66
2012,21.56
2013,22.18
