year,avg_temp
1743,7.54
1744,10.34
1745,4.13
1746,
1747,
1748,
1749,
1750,10.25
1751,9.99
1752,6.54
1753,9.42
1754,9.20
1755,8.95
1756,9.42
1757,9.34
1758,8.85
1759,9.80
1760,9.26
1761,9.69
1762,8.99
1763,8.75
1764,9.14
1765,8.95
1766,9.07
1767,8.98
1768,9.12
1769,9.04
1770,9.03
1771,8.78
1772,9.36
1773,9.33
1774,9.10
1775,10.10
1776,9.21
1777,9.25
1778,9.80
1779,10.76
1780,9.67
1781,10.41
1782,8.44
1783,9.97
1784,8.29
1785,8.54
1786,8.35
1787,9.53
1788,9.39
1789,9.12
1790,9.67
1791,9.59
1792,9.56
1793,9.59
1794,10.00
1795,9.19
1796,9.50
1797,9.62
1798,9.83
1799,7.94
1800,9.32
1801,9.68
1802,9.31
1803,8.79
1804,9.37
1805,8.56
1806,9.87
1807,9.03
1808,8.91
1809,8.99
1810,8.97
1811,10.10
1812,8.58
1813,9.13
1814,7.93
1815,8.99
1816,7.98
1817,8.95
1818,9.88
1819,9.58
1820,8.61
1821,9.63
1822,10.36
1823,8.80
1824,9.65
1825,9.98
1826,10.12
1827,9.37
1828,10.10
1829,7.95
1830,8.78
1831,10.01
1832,9.24
1833,9.40
1834,10.59
1835,9.48
1836,9.04
1837,8.85
1838,8.05
1839,8.89
1840,8.68
1841,9.12
1842,9.43
1843,9.40
1844,8.85
1845,8.46
1846,10.48
1847,9.24
1848,9.52
1849,9.42
1850,9.06
1851,9.17
1852,9.96
1853,8.44
1854,9.30
1855,8.03
1856,9.17
1857,10.21
1858,9.20
1859,9.97
1860,8.17
1861,9.42
1862,9.56
1863,9.90
1864,8.74
1865,9.82
1866,9.69
1867,9.06
1868,10.50
1869,9.46
1870,8.94
1871,8.97
1872,10.07
1873,9.26
1874,9.37
1875,9.43
1876,9.75
1877,9.43
1878,9.47
1879,7.62
1880,9.35
1881,8.71
1882,9.43
1883,9.21
1884,9.86
1885,8.68
1886,8.80
1887,8.39
1888,8.31
1889,8.91
1890,8.86
1891,8.65
1892,8.35
1893,10.05
1894,9.42
1895,8.91
1896,9.41
1897,9.50
1898,10.08
1899,9.85
1900,9.73
1901,9.20
1902,8.95
1903,9.45
1904,9.18
1905,9.25
1906,9.62
1907,9.03
1908,9.31
1909,8.70
1910,9.39
1911,10.22
1912,9.57
1913,9.89
1914,9.98
1915,9.07
1916,9.28
1917,8.65
1918,9.60
1919,8.48
1920,9.67
1921,10.60
1922,8.81
1923,9.17
1924,9.34
1925,9.31
1926,9.83
1927,9.25
1928,9.69
1929,9.09
1930,9.70
1931,9.12
1932,9.57
1933,9.96
1934,10.11
1935,9.90
1936,9.43
1937,9.69
1938,10.18
1939,9.77
1940,9.06
1941,9.09
1942,9.10
1943,10.19
1944,9.62
1945,10.39
1946,9.58
1947,9.75
1948,10.16
1949,10.63
1950,9.75
1951,9.52
1952,9.35
1953,9.95
1954,9.35
1955,9.39
1956,8.87
1957,10.26
1958,9.66
1959,10.63
1960,9.88
1961,10.20
1962,8.65
1963,8.48
1964,9.53
1965,9.03
1966,9.59
1967,9.81
1968,9.48
1969,9.47
1970,9.69
1971,9.89
1972,9.41
1973,9.75
1974,9.70
1975,9.99
1976,10.28
1977,9.69
1978,9.41
1979,9.06
1980,9.54
1981,9.38
1982,10.07
1983,10.12
1984,9.75
1985,9.00
1986,8.94
1987,9.22
1988,9.82
1989,10.76
1990,10.94
1991,9.67
1992,10.15
1993,9.69
1994,10.48
1995,10.55
1996,9.27
1997,10.64
1998,10.40
1999,10.86
2000,10.52
2001,10.18
2002,10.91
2003,10.81
2004,10.77
2005,10.63
2006,11.10
2007,10.83
2008,10.38
2009,10.52
2010,9.38
2011,11.19
2012,10.00
2013,9.91
