year,avg_temp
1743,3.26
1744,11.66
1745,1.13
1746,
1747,
1748,
1749,
1750,10.07
1751,10.79
1752,2.81
1753,9.52
1754,9.88
1755,6.61
1756,9.94
1757,8.89
1758,8.15
1759,9.01
1760,7.73
1761,10.18
1762,9.55
1763,7.23
1764,9.55
1765,8.96
1766,10.09
1767,8.52
1768,8.67
1769,9.10
1770,9.04
1771,10.18
1772,9.64
1773,10.08
1774,9.52
1775,10.24
1776,9.13
1777,8.77
1778,6.89
1779,0.25
1780,
1781,9.79
1782,9.15
1783,8.81
1784,8.40
1785,8.49
1786,8.98
1787,8.97
1788,9.77
1789,9.42
1790,9.39
1791,9.37
1792,8.72
1793,9.88
1794,9.83
1795,9.21
1796,8.97
1797,8.85
1798,9.71
1799,9.19
1800,9.58
1801,10.00
1802,10.29
1803,10.07
1804,9.69
1805,10.43
1806,9.38
1807,9.17
1808,9.57
1809,8.87
1810,9.35
1811,9.43
1812,7.80
1813,8.93
1814,8.70
1815,8.27
1816,7.92
1817,7.78
1818,8.13
1819,9.07
1820,8.98
1821,8.53
1822,9.84
1823,8.64
1824,9.29
1825,10.21
1826,9.92
1827,9.26
1828,10.70
1829,9.17
1830,10.32
1831,9.07
1832,9.15
1833,9.15
1834,9.32
1835,8.48
1836,7.51
1837,8.12
1838,8.73
1839,9.17
1840,9.27
1841,9.00
1842,9.41
1843,8.49
1844,9.12
1845,9.49
1846,9.66
1847,9.30
1848,9.54
1849,8.83
1850,9.10
1851,9.26
1852,8.98
1853,9.68
1854,9.56
1855,9.11
1856,8.20
1857,8.52
1858,9.13
1859,9.17
1860,9.18
1861,9.47
1862,9.00
1863,9.09
1864,9.29
1865,9.64
1866,8.95
1867,8.59
1868,7.95
1869,8.85
1870,10.04
1871,8.94
1872,8.61
1873,8.44
1874,9.06
1875,7.74
1876,9.35
1877,10.15
1878,10.38
1879,9.37
1880,9.99
1881,9.77
1882,9.22
1883,8.59
1884,9.36
1885,8.37
1886,8.90
1887,9.10
1888,8.31
1889,9.86
1890,9.62
1891,10.00
1892,9.15
1893,8.68
1894,9.95
1895,9.22
1896,9.51
1897,9.63
1898,10.24
1899,9.51
1900,10.40
1901,9.29
1902,9.43
1903,9.32
1904,7.87
1905,9.10
1906,9.90
1907,8.49
1908,9.87
1909,9.51
1910,9.55
1911,9.91
1912,9.24
1913,10.76
1914,9.02
1915,9.85
1916,9.10
1917,8.24
1918,9.51
1919,10.05
1920,9.19
1921,10.91
1922,10.04
1923,9.51
1924,8.85
1925,9.72
1926,8.54
1927,9.70
1928,9.82
1929,9.97
1930,10.22
1931,11.03
1932,10.44
1933,10.18
1934,9.48
1935,9.48
1936,9.73
1937,10.16
1938,10.42
1939,10.07
1940,8.53
1941,10.19
1942,9.96
1943,9.58
1944,10.01
1945,9.94
1946,10.63
1947,9.91
1948,9.83
1949,11.39
1950,9.72
1951,10.27
1952,10.52
1953,11.17
1954,10.31
1955,10.39
1956,9.75
1957,10.50
1958,9.16
1959,10.77
1960,9.76
1961,10.03
1962,9.32
1963,9.32
1964,9.96
1965,9.63
1966,9.75
1967,9.30
1968,9.75
1969,9.76
1970,9.77
1971,10.01
1972,9.49
1973,10.96
1974,10.08
1975,10.56
1976,9.53
1977,9.96
1978,9.17
1979,10.02
1980,9.86
1981,9.95
1982,9.78
1983,10.51
1984,10.26
1985,10.26
1986,10.15
1987,10.32
1988,9.93
1989,9.66
1990,11.32
1991,11.36
1992,9.57
1993,10.04
1994,10.00
1995,10.24
1996,9.81
1997,10.00
1998,11.82
1999,11.16
2000,9.97
2001,10.93
2002,11.25
2003,9.84
2004,10.39
2005,10.68
2006,11.52
2007,10.63
2008,10.64
2009,10.14
2010,11.36
2011,11.27
2012,11.97
2013,12.16
